name,description,url,position,street,city,county,state,country,postal_code,phone,email
"Agárdi Termálfürdő és Kemping, H-Gárdony, Határ út, +36 (40) 200-672",,,"47.18866,18.62056",,,,,,,,
"Ágóc Kemping és Vendégház, H-Alsóberecki",,,"48.34381,21.69113",,,,,,,,
"Albatrosz Kemping, H-Tiszabecs",,,"48.1059,22.8235",,,,,,,,
"Alcsi-Holt-Tisza Szabadidő Központ, H-Szajol",,,"47.1436,20.28591",,,,,,,,
"Alkotótábor és Szabadidőközpont, H-Hatvan",,,"47.66151,19.70713",,,,,,,,
"Amedi Kemping, H-Borsodbóta",,,"48.21221,20.3959",,,,,,,,
"Aqua Termál Camping és Vendégház, H-Fertőhomok",,,"47.62131,16.77668",,,,,,,,
"Aqua Therma Termálfalu és Kemping, H-Zalaegerszeg",,,"46.86646,16.81853",,,,,,,,
"Aranyhíd Kemping, H-Balatonlelle",,,"46.78522,17.70041",,,,,,,,
"Aranykárász Kemping, H-Rajka",,,"47.99106,17.23883",,,,,,,,
"Arena Camping, H-Budapest, Pilisi u. 7., +36 30 296-9129",,,"47.50408,19.15883",,,,,,,,
"Aréna Kemping, H-Dunaszekcső",,,"46.07031,18.75153",,,,,,,,
"Árnyas Kemping és Motel, H-Püspökladány",,,"47.32188,21.10521",,,,,,,,
"Árpi's Camping, H-Vének, +36 (30) 298-2613",,,"47.73607,17.75954",,,,,,,,
"Arzenál Üdülőház és Sátorozóhely, H-Harkány",,,"45.83649,18.22706",,,,,,,,
"Autós Camping, H-Miskolctapolca",,,"48.06487,20.73159",,,,,,,,
"Autóskemping, H-Lakitelek",,,"46.86205,19.99166",,,,,,,,
"Balaton Eldorado Camping, H-Badacsonylábdihegy",,,"46.79033,17.4737",,,,,,,,
"Balatoni Hajózási Rt-Hattyú Kemping, H-Balatonszemes",,,"46.81236,17.77123",,,,,,,,
"Balatoni Hajózási Rt-Sellő Kemping, H-Balatonboglár",,,"46.78083,17.64621",,,,,,,,
"Balatontourist Aranyhíd Kemping, H-Balatonlelle",,,"46.79395,17.71555",,,,,,,,
"Balatontourist Autós Kemping, H-Zamárdi",,,"46.88079,17.91565",,,,,,,,
"Balatontourist Balaton Kemping, H-Badacsonytomaj",,,"46.80425,17.54036",,,,,,,,
"Balatontourist Európa Kemping, H-Alsóörs, Camping utca 19., +36 (87) 555-021",,,"46.97583,17.9584",,,,,,,,
"Balatontourist Füred Kemping, H-Balatonfüred",,,"46.94625,17.87623",,,,,,,,
