name,description,url,position,street,city,county,state,country,postal_code,phone,email,unformatted
1. chodský pivovárek na Moravě,,,"49.0141379,16.7803206",,,,,,,,1.chodskypivovarek@seznam.cz,"ul. Osvobození 29, 691 76 Šitbořice"
1.selský pivovárek v Kroměříži,,http://www.selsky-pivovarek.cz,"49.2852118,17.3639349",,,,,,,"776 465 304, 607 640 188",,"Havlíčkova ulice 2787, Kroměříž"
Antošova pivovarská krčma s pivovarem,,http://www.pivovarantos.cz,"50.2299674,14.0885442",,,,,,,,info@pivovarantos.cz,"Vinařického 14, 274 01 Slaný"
Balitovy valašské pivovary,,http://www.balita.cz,"49.4297341,18.2186554",,,,,,,734 752 656,info@balita.cz,"Hutisko - Solanec 609, 756 62 Hutisko - Solanec"
Beskydský pivovárek Ostravice,,http://www.beskydskypivovarek.cz,"49.5320635,18.394474",,,,,,,,info@beskydskypivovarek.cz,Ostravice 449
Biskupický pivovar Gajdoš,,,"49.0392371,16.008031",,,,,,,724579917,,"Biskupice č.p. 2, 675 57 Biskupice-Pulkov"
Břevnovský klášterní pivovar sv. Vojtěcha,,,"50.083659,14.3564366",,,,,,,,info@brevnovskypivovar.cz,"Markétská 1/28, 169 00 Praha 6, Praha-Břevnov"
Budějovický měšťanský pivovar,,http://www.budweiser-burgerbrau.cz,"48.9634544,14.4743196",,,,,,,,info@budweiser1795.com,Lidická 51; 370 54 České Budějovice
Černokostelecký zájezdní pivovár,,http://www.pivovarkostelec.cz,"49.9979416,14.8649618",,,,,,,,,Českobrodská 17 281 63 Kostelec nad Černými Lesy
Domácí pivovar a restaurace Magistr,,http://www.pivovarmagistr.cz,"49.2096643,16.6000084",,,,,,,,pivovarmagistr@email.cz,"Hrnčířská 23, 602 00 Brno - Veveří"
Domácí pivovar Velký Rybník,,http://www.pivohastrman.cz,"50.2878586,12.8658593",,,,,,,,pivovar@pivohastrman.cz,"Velký Rybník č. 9, 363 01 Ostrov"
Hostinský pivovar Glokner,,http://www.pivovarglokner.cz,"48.8273547,14.3644653",,,,,,,"774 499 812, 380 727 950",objednavky@glokner.cz,"Svachova Lhotka 1, 382 32 Mirkovice"
Hotelový pivovar Pod Kyčmolem,,http://www.lomnan.cz,"49.5278767,18.6377441",,,,,,,,info@podkycmolem.cz,Horní Lomná 53;  739 91 Horní Lomná
Jihoměstský pivovar Praha,,http://www.jihomestskypivovar.cz,"50.0314716,14.5197557",,,,,,,,info@jihomestskypivovar.cz,"Podjavorinské 1602/11, 14900 Praha 4 - Chodov"
