name,description,url,position,street,city,county,state,country,postal_code,phone,email
Berounský medvěd,Nice pub in brewery of same name. Nice prices,http://www.berounskymedved.com/restaurace.html,"49.956763,14.0720862",Tyršova,Beroun,okres Beroun,Střední Čechy,Česko,26601,,
Country Hospoda Na Ostrově,Nice pub in a camp on small island on Berounka River. ,https://www.google.cz/url?sa=t&source=web&rct=j&ei=YkXEUpC9La2v4QSCsYHYDg&url=https://www.facebook.com/countryhospodanaostrove&cd=&ved=0CCwQ_Bc&usg=AFQjCNErjiSp3ZTsl4UnJ_zQX4jQ-UMSMQ,"49.9209461,14.2091846",U Mlýna,Zadní Třebaň,okres Beroun,Střední Čechy,Česko,,,
Jez Dobré naděje,"Nice garden,  with lovely view river and Castle. Good beer (recently Hostomice 10) & food",http://www.campdobrichovice.cz/restaurace.php,"49.9244111,14.2747969",,,,,,,,
Kulový blesk,Great place to taste different beers. ,http://www.restauracekulovyblesk.cz,"50.0735621,14.4290596",Sokolská 13,Praha 2,,,,,,
Nádražní hospoda v Radotínĕ,"Classic of railway station pubs, stinky, dirty, with unpleasant bartender - one just have to love it.",,"49.9860003,14.3648332",Vrážská 43/5,Praha,okres Hlavní město Praha,Praha,Česko,15300,,
Na Hradbách,Nice beer garden on Vyšehrad,,"50.0636396,14.4222759",,,,,,,,
Na Pošte,Place of my youth,http://www.uposty.cz,"50.0742631,14.4418073",Moravská 10,Praha,okres Hlavní město Praha,Praha,Česko,12000,,
Na Stadionu,"Good Staropramen from tank, good food. Volf hooow, hooow",http://www.sk-cernosice.cz/restaurace.htm,"49.9593272,14.3189675",Poštovní 1244,Černošice,okres Praha-západ,Střední Čechy,Česko,252 28,,
Oáza na Smíchovském nádraží,Wonderful dirty railway station pub. Magor was going there. ,http://www.restauraceoaza.cz,"50.0613232,14.4088697",Nádražní 1,Praha 5,,,Česká republika,,,
Pivovarská krčma,Krčma is much better then restaurant,http://www.pivovarskydvur.cz,"50.0621944,14.2334747",Hlavní,Chýně,Praha-západ,,,,,
Pivovarská restaurace Unětice,Best place to taste uneticke pivo. Good food. ,http://www.unetickypivovar.cz/pivovarska-restaurace,"50.1491314,14.3543243",Rýznerova,Únětice,okres Praha-západ,Střední Čechy,Česko,25068,,
Pod Lípou,Close to home,http://www.mestocernosice.cz/ubytovani-a-pohostinstvi/restaurace-pod-lipou/,"49.9506262,14.3155557",Dobřichovická 754,Černošice,,,,25228,,
Prašivka,"Classic common (class 4) pub. Good beer, each week different special local beer. Love from first sight. ",,"50.099355,14.4244856",Ovenecká 1022/15,Praha,okres Hlavní město Praha,Praha,Česko,17000,,
První pivní tramway,"Local beers,  nice decorations in the interior. Former tram stop. ",http://www.prvnipivnitramway.cz,"50.0504912,14.4819438",Na Chodovci 1a,Praha 4,,,Česká republika,,,
U Černého vola,"One of very few survived Mala Strana pubs, only one where I prefer Kozel to Pilsner (from sentiment)",http://www.ucernehovola.cz,"50.0881878,14.3918378",Loretánské náměstí 1,Praha 1,,,,,,
U Derneru (Čunčí huba),Good place to get  refreshment on trip though Brdy. Good food.Too many bikers. ,,"49.8640301,14.2152186",Na Rovinách,Kytín,okres Praha-západ,Střední Čechy,Česko,26728,,
U Hrocha,"One of best pilsner beers around Prague.  Preserves atmosphere of former ""malostranska hospoda""",,"50.0891959,14.403221",Thunovská 10,Praha,okres Hlavní město Praha,Praha,Česko,11800,,
U Jelínků,Legendary Pilsner pub -   beer is best with their 'Talian' sausage. ,,"50.0816509,14.4220394",Charvátova 33/1 ,Praha 1,,,Česká republika,11000,,
U Králů,Nice pub in Mokropsy,http://restauraceukralu.webnode.cz/o-nas/,"49.9409276,14.3286088",Dr. Jánského 595,Černošice,,,,,,
U Krobiána,Nice but often overcrowded with bikes,http://hostim.viacarolina.cz,"49.9608388,14.1304404",Hostim 12,Beroun,okres Beroun,Střední Čechy,Česko,26601,,
U Ondřeje,Small one on bike track from Prague. Favorite stop for thirsty bikers and striders,,"49.9822991,14.3645811",Výpadová,Praha,okres Hlavní město Praha,Praha,Česko,15300,,
U Prince Miroslava,Beers from small local breweries.,http://uprincemiroslava.eu/,"50.0616503,14.3981785",K Vodojemu 2,Praha 5,,Praha,Česká Republika,15000,,
U Rudolfina,"Good Pilsner beer pub, prefer top bar. ",,"50.0880429,14.4155753",Křižovnická 60/10,Praha,okres Hlavní město Praha,Praha,Česko,11000,,
U Staré pošty,My favorite stop on way home,http://u-stare-posty.wz.cz,"50.0825537,14.4311861",Opletalova 17,Praha 1,,,,,,
U sv. Antoníčka,"I ve lived nearby for 7 years,  now after more than 10 years it's still the same -incredible. ",,"50.0997989,14.4339216",Podplukovníka Sochora 983/20,Praha,okres Hlavní město Praha,Praha,Česko,17000,,
U Valtrů,Cool village pub,http://www.firmy.cz/detail/2633957-hostinec-u-valtru-trebotov-solopisky.html,"49.9616083,14.2923278",Karlštejnská ,Solopisky,okres Praha-západ,Střední Čechy,Česko,,,
U Zrzavého paviána,"Very good food, nice place, but bit overcrouded with bikers",,"49.8856842,14.2042079",K Vodárně,Halouny,okres Beroun,Střední Čechy,Česko,26728,,
V Lavičkách,Settlement (osada) pub on bank of Berounka River.  Classic ,http://www.mestocernosice.cz/ubytovani-a-pohostinstvi/restaurace-v-lavickach/,"49.9407326,14.3197507",Osada Staré řeky,Černošice,,,Česko,,,
