name,description,url,position,street,city,county,state,country,postal_code,phone,email
Argument Restaurant Cafe,Čepuje se Únětická 10° a 12°.,http://www.argument-restaurant.cz/home-page/,"50.09977,14.403956",Bubenečská 19,Praha 6,,,Česká republika,,,
Azyl,čepuje se Únětická 12°,http://www.klub-azyl.cz/,"50.077026,14.402905",Kroftova 1,Praha 5,,,Česká republika,,,
Bajkazyl,Čepuje se Únětická 10° a 12°,http://www.bajkazyl.cz/,"50.0877,14.452815",Tachovské nám. 3,Praha 3,,,Česká republika,,,
Bar Fišerka,Čepuje se Únětická 12°.,,"50.112865,14.380084",Matějská 76,Praha 6,,,Česká republika,,,
Bar Kulovna,Čepuje se Únětická 10°a 12°.,,"50.038746,14.412003",Branická 35,Praha 4,,,Česká republika,,,
Booz bar,,http://www.boozebar.cz/,"50.087402,14.399311",Jánský vršek 2,Praha 1,,,Česká republika,,,
Café Jehuda,Na čepu Únětická 12°.,http://cafejehuda.cz/,"50.074989,14.439168",Blanická 12,Praha 2,,,Česká republika,,,
Café Kolíbka,Čepuje se Únětická 10°a 12°.,http://www.kolibka.cz/,"50.077999,14.423182",Řeznická 10,Praha 1,,,Česká republika,,,
Cafe Longberry,,,"50.24117,14.313468",Komenského nám. 8,Kralupy n. Vltavou,,,Česká republika,,,
Cafe Sladkovský,Čepuje se Únětická 10° a 12°.,http://www.cafesladkovsky.cz/,"50.071014,14.448931",Sevastopolská 17,Praha 2,,,Česká republika,,,
Country club,,,"50.070452,14.458627",Slovinská 19,Praha 10,,,Česká republika,,,
Decentní dýně,,http://www.dcdyne.com/,"50.078968,14.437282",Italská 32,Praha 2,,,Česká republika,,,
Dejvická divadelní kavárna,,http://www.dejvickedivadlo.cz/kavarna-dd,"50.106785,14.392959",Zelená 15a,Praha 6,,,Česká republika,,,
DISH,,http://dish.cz/,"50.077057,14.436142",Římská 29,Praha 2,,,Česká republika,,,
Divoké matky - kavárna,,http://divokakavarna.wix.com/kavarna,"50.093085,14.460185",Hybešova 2,Praha 8,,,Česká republika,,,
Family Hotel Okoř,"Čepuje se Únětická 12°,",http://www.hotelokor.com/_en/index.html,"50.161987,14.258666",Okoř 23,Okoř,,,Česká republika,,,
Folimanka park,Čepuje se Únětická 10° a 12°.,,"50.066936,14.428809",U Botiče,Praha 4,,,Česká republika,,,
Hospůdka Zvířátka,,http://www.zviratka.eu/,"50.154274,14.387442",Tiché údolí 66,Roztoky,,,Česká republika,,,
Hostinec U vody,,,"50.110781,14.448028",U vody 1,Praha 7,,,Česká republika,,,
Hotel Academic,,http://www.academic.cz/cs,"50.161919,14.392061",Tyršovo náměstí 2222,Roztoky,,,Česká republika,,,
Hotel U kříže,,http://ukrize.cz/,"50.08153,14.404712",Újezd 20,Praha 1,,,Česká republika,,,
Jáma,,,"50.080078,14.425433",V jámě 7,Praha 1,,,Česká republika,,,
JAMM CLUB,,http://www.jammclub.cz/,"50.0982337,14.4051188",Pod kaštany 183/3,Praha 6,,,Česká republika,,,
Jazz club U staré paní,,http://www.jazzstarapani.cz/,"50.084888,14.419727",Michalská 9,Praha 1,,,Česká republika,,,
Jazz Dock,Čepuje se Únětická 10° filtrovaná.,http://www.jazzdock.cz/,"50.076015,14.408848",Janáčkovo nábřeží 2,Praha 5,,,Česká republika,,,
