name,address_street,address_city,address_country,location,url,description
Argument Restaurant Cafe,Bubenečská 19,Praha 6,Česká republika,"50.099770, 14.403956",http://www.argument-restaurant.cz/home-page/,Čepuje se Únětická 10° a 12°.
Azyl,Kroftova 1,Praha 5,Česká republika,"50.077026, 14.402905",http://www.klub-azyl.cz/,čepuje se Únětická 12°
Bajkazyl,Tachovské nám. 3,Praha 3,Česká republika,"50.087700, 14.452815",http://www.bajkazyl.cz/,Čepuje se Únětická 10° a 12°
Bar Fišerka,Matějská 76,Praha 6,Česká republika,"50.112865, 14.380084",,Čepuje se Únětická 12°.
Bar Kulovna,Branická 35,Praha 4,Česká republika,"50.038746, 14.412003",,Čepuje se Únětická 10°a 12°.
Booz bar,Jánský vršek 2,Praha 1,Česká republika,"50.087402, 14.399311",http://www.boozebar.cz/,
Café Jehuda,Blanická 12,Praha 2,Česká republika,"50.074989, 14.439168",http://cafejehuda.cz/,Na čepu Únětická 12°.
Café Kolíbka,Řeznická 10,Praha 1,Česká republika,"50.077999, 14.423182",http://www.kolibka.cz/,Čepuje se Únětická 10°a 12°.
Cafe Longberry,Komenského nám. 8,Kralupy n. Vltavou,Česká republika,"50.241170, 14.313468",,
Cafe Sladkovský,Sevastopolská 17,Praha 2,Česká republika,"50.071014, 14.448931",http://www.cafesladkovsky.cz/,Čepuje se Únětická 10° a 12°.
Country club,Slovinská 19,Praha 10,Česká republika,"50.070452, 14.458627",,
Decentní dýně,Italská 32,Praha 2,Česká republika,"50.078968, 14.437282",http://www.dcdyne.com/,
Dejvická divadelní kavárna,Zelená 15a,Praha 6,Česká republika,"50.106785, 14.392959",http://www.dejvickedivadlo.cz/kavarna-dd,
DISH,Římská 29,Praha 2,Česká republika,"50.077057, 14.436142",http://dish.cz/,
Divoké matky - kavárna,Hybešova 2,Praha 8,Česká republika,"50.093085, 14.460185",,
Family Hotel Okoř,Okoř 23,Okoř,Česká republika,"50.161987, 14.258666",http://www.hotelokor.com/_en/index.html,"Čepuje se Únětická 12°,"
Folimanka park,U Botiče,Praha 4,Česká republika,"50.066936, 14.428809",,Čepuje se Únětická 10° a 12°.
Hospůdka Zvířátka,Tiché údolí 66,Roztoky,Česká republika,"50.154274, 14.387442",http://www.zviratka.eu/,
Hostinec U vody,U vody 1,Praha 7,Česká republika,"50.110781, 14.448028",,
Hotel Academic,Tyršovo náměstí 2222,Roztoky,Česká republika,"50.161919, 14.392061",http://www.academic.cz/cs,
Hotel U kříže,Újezd 20,Praha 1,Česká republika,"50.081530, 14.404712",http://ukrize.cz/,
J+J Bar,Moravská 9,Praha 2,Česká republika,"50.074287, 14.441764",,Čepuje se Únětická 10° a 12°.
Jáma,V jámě 7,Praha 1,Česká republika,"50.080078, 14.425433",,
JAMM CLUB,Pod kaštany 183/3,Praha 6,Česká republika,,http://www.jammclub.cz/,
Jazz club U staré paní,Michalská 9,Praha 1,Česká republika,"50.084888, 14.419727",http://www.jazzstarapani.cz/,
Jazz Dock,Janáčkovo nábřeží 2,Praha 5,Česká republika,"50.076015, 14.408848",http://www.jazzdock.cz/,Čepuje se Únětická 10° filtrovaná.
Kachna a Koráb,Sokolovská 114,Praha 8,Česká republika,"50.094677, 14.455240",,
Kavárna Do větru,Na Větrníku 18,Praha 6,Česká republika,"50.088028, 14.352801",http://www.kafedovetru.cz/,
Kavárna Kabinet,,,Česká republika,"50.103577, 14.398077",http://www.facebook.com/KavarnaKabinet,
Kavárna Liberál,Heřmanova 6,Praha 7,Česká republika,"50.100620, 14.436502",,
Kavárna Podkůvka,Schnirchova,Praha 7,Česká republika,"50.103954, 14.434490",,Čepuje se Únetická 12°.
Klub Obora,U akademie 11,Praha 7,Česká republika,"50.101685, 14.425199",,
Kulový blesk,Sokolská 1499 / 13,Praha 2,Česká republika,"50.073571, 14.429069",http://www.restauracekulovyblesk.cz/,
MENUEAT,Československé armády 30,Praha,Česká republika,"50.100877, 14.398283",http://www.menueat.cz/hlavni_strana.html,
Moravský sklípek Kafka,Kafkova 25,Praha 6,Česká republika,"50.098835, 14.394600",,
Music bar Echo,Velvarská,Horoměřice,Česká republika,"50.131680, 14.338896",,Občas se čepuje se Únětická 10°nefiltrovaná.
Na palmě,Na žertvách 32,Praha 8,Česká republika,"50.104603, 14.477502",http://www.napalme.cz/,
Na Slamníku,Wolkerova 12,Praha 6,Česká republika,"50.103634, 14.408424",http://www.dejrest.cz/,Čepuje se Únětická 12°.
Na Urale,Uralská 9,Praha 6,Česká republika,"50.102524, 14.402153",http://www.dejrest.cz/,
Na Vrškách,Lidická 372,Roztoky,Česká republika,"50.160549, 14.388296",,
